https://www.bikotbi.org/ontology/BIKO_000182,https://www.bikotbi.org/ontology/BIKO_000059,https://www.bikotbi.org/ontology/BIKO_000171,https://www.bikotbi.org/ontology/BIKO_000178,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000086,https://www.bikotbi.org/ontology/BIKO_000062,https://www.bikotbi.org/ontology/BIKO_000063,https://www.bikotbi.org/ontology/BIKO_000157,https://www.bikotbi.org/ontology/BIKO_000184,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000181,https://www.bikotbi.org/ontology/BIKO_000028
Adult,200 - 225 g,https://doi.org/10.1016/j.mito.2021.09.001,PMID:34508891,"Balasubramanian N, Jadhav G, Sakharkar AJ. Repeated mild traumatic brain injuries perturb the mitochondrial biogenesis via DNA methylation in the hippocampus of ratMitochondrion. 2021 Nov;61:11-24. doi: 10.1016\/j.mito.2021.09.001. Epub 2021 Sep 9.","Balasubramanian N, Jadhav G, Sakharkar AJ. Repeated mild traumatic brain injuries perturb the mitochondrial biogenesis via DNA methylation in the hippocampus of ratMitochondrion. 2021 Nov;61:11-24. doi: 10.1016\/j.mito.2021.09.001. Epub 2021 Sep 9.",male,male,rat,Wistar,Wistar,,359,"Balasubramanian N, Jadhav G, Sakharkar AJ. Repeated mild traumatic brain injuries perturb the mitochondrial biogenesis via DNA methylation in the hippocampus of ratMitochondrion. 2021 Nov;61:11-24. doi: 10.1016\/j.mito.2021.09.001. Epub 2021 Sep 9.","Balasubramanian N, Jadhav G, Sakharkar AJ. Repeated mild traumatic brain injuries perturb the mitochondrial biogenesis via DNA methylation in the hippocampus of ratMitochondrion. 2021 Nov;61:11-24. doi: 10.1016\/j.mito.2021.09.001. Epub 2021 Sep 9.",male,male,,Weight-drop model
Adult,,https://doi.org/10.1016/j.jmbbm.2017.04.008,PMID:28412646,"Feng Y, Gao Y, Wang T, Tao L, Qiu S, Zhao X. A longitudinal study of the mechanical properties of injured brain tissue in a mouse modelJ Mech Behav Biomed Mater. 2017 Jul;71:407-415. doi: 10.1016\/j.jmbbm.2017.04.008. Epub 2017 Apr 8.","Feng Y, Gao Y, Wang T, Tao L, Qiu S, Zhao X. A longitudinal study of the mechanical properties of injured brain tissue in a mouse modelJ Mech Behav Biomed Mater. 2017 Jul;71:407-415. doi: 10.1016\/j.jmbbm.2017.04.008. Epub 2017 Apr 8.",male,male,mouse,ICR,ICR,custom-built weight-drop device,360,"Feng Y, Gao Y, Wang T, Tao L, Qiu S, Zhao X. A longitudinal study of the mechanical properties of injured brain tissue in a mouse modelJ Mech Behav Biomed Mater. 2017 Jul;71:407-415. doi: 10.1016\/j.jmbbm.2017.04.008. Epub 2017 Apr 8.","Feng Y, Gao Y, Wang T, Tao L, Qiu S, Zhao X. A longitudinal study of the mechanical properties of injured brain tissue in a mouse modelJ Mech Behav Biomed Mater. 2017 Jul;71:407-415. doi: 10.1016\/j.jmbbm.2017.04.008. Epub 2017 Apr 8.",male,male,custom-built weight-drop device,Weight-drop model
,,https://doi.org/10.1016/j.jmbbm.2019.103380,PMID:31446342,"McCarty AK, Zhang L, Hansen S, Jackson WJ, Bentil SA. Viscoelastic properties of shock wave exposed brain tissue subjected to unconfined compression experimentsJ Mech Behav Biomed Mater. 2019 Dec;100:103380. doi: 10.1016\/j.jmbbm.2019.103380. Epub 2019 Aug 8.","McCarty AK, Zhang L, Hansen S, Jackson WJ, Bentil SA. Viscoelastic properties of shock wave exposed brain tissue subjected to unconfined compression experimentsJ Mech Behav Biomed Mater. 2019 Dec;100:103380. doi: 10.1016\/j.jmbbm.2019.103380. Epub 2019 Aug 8.",No sex reported,No sex reported,pig,,,Crosman Pumpmaster Classic air pistol,361,"McCarty AK, Zhang L, Hansen S, Jackson WJ, Bentil SA. Viscoelastic properties of shock wave exposed brain tissue subjected to unconfined compression experimentsJ Mech Behav Biomed Mater. 2019 Dec;100:103380. doi: 10.1016\/j.jmbbm.2019.103380. Epub 2019 Aug 8.","McCarty AK, Zhang L, Hansen S, Jackson WJ, Bentil SA. Viscoelastic properties of shock wave exposed brain tissue subjected to unconfined compression experimentsJ Mech Behav Biomed Mater. 2019 Dec;100:103380. doi: 10.1016\/j.jmbbm.2019.103380. Epub 2019 Aug 8.",No sex reported,No sex reported,Crosman Pumpmaster Classic air pistol,Blast model
Adult,300 - 400 g,https://doi.org/10.1016/j.wneu.2015.05.075,PMID:26093361,"Chang CZ, Wu SC, Kwan AL, Lin CL. Magnesium Lithospermate B Implicates 3'-5'-Cyclic Adenosine Monophosphate\/Protein Kinase A Pathway and N-Methyl-d-Aspartate Receptors in an Experimental Traumatic Brain InjuryWorld Neurosurg. 2015 Oct;84(4):954-63. doi: 10.1016\/j.wneu.2015.05.075. Epub 2015 Jun 18.","Chang CZ, Wu SC, Kwan AL, Lin CL. Magnesium Lithospermate B Implicates 3'-5'-Cyclic Adenosine Monophosphate\/Protein Kinase A Pathway and N-Methyl-d-Aspartate Receptors in an Experimental Traumatic Brain InjuryWorld Neurosurg. 2015 Oct;84(4):954-63. doi: 10.1016\/j.wneu.2015.05.075. Epub 2015 Jun 18.",male,male,rat,Sprague-Dawley,Sprague-Dawley,,362,"Chang CZ, Wu SC, Kwan AL, Lin CL. Magnesium Lithospermate B Implicates 3'-5'-Cyclic Adenosine Monophosphate\/Protein Kinase A Pathway and N-Methyl-d-Aspartate Receptors in an Experimental Traumatic Brain InjuryWorld Neurosurg. 2015 Oct;84(4):954-63. doi: 10.1016\/j.wneu.2015.05.075. Epub 2015 Jun 18.","Chang CZ, Wu SC, Kwan AL, Lin CL. Magnesium Lithospermate B Implicates 3'-5'-Cyclic Adenosine Monophosphate\/Protein Kinase A Pathway and N-Methyl-d-Aspartate Receptors in an Experimental Traumatic Brain InjuryWorld Neurosurg. 2015 Oct;84(4):954-63. doi: 10.1016\/j.wneu.2015.05.075. Epub 2015 Jun 18.",male,male,weight-drop device,Weight-drop model
,250 - 300 g,https://doi.org/10.1016/j.wneu.2016.09.115,PMID:27744073,"Özay R, Türkoğlu E, Gürer B, Dolgun H, Evirgen O, Ergüder Bİ, Hayırlı N, Gürses L, Şekerci Z, Yılmaz ER. Does Decorin Protect Neuronal Tissue via Its Antioxidant and Antiinflammatory Activity from Traumatic Brain Injury? An Experimental StudyWorld Neurosurg. 2017 Jan;97:407-415. doi: 10.1016\/j.wneu.2016.09.115. Epub 2016 Oct 12.","Özay R, Türkoğlu E, Gürer B, Dolgun H, Evirgen O, Ergüder Bİ, Hayırlı N, Gürses L, Şekerci Z, Yılmaz ER. Does Decorin Protect Neuronal Tissue via Its Antioxidant and Antiinflammatory Activity from Traumatic Brain Injury? An Experimental StudyWorld Neurosurg. 2017 Jan;97:407-415. doi: 10.1016\/j.wneu.2016.09.115. Epub 2016 Oct 12.",male,male,rat,Wistar,Wistar Albino,,364,"Özay R, Türkoğlu E, Gürer B, Dolgun H, Evirgen O, Ergüder Bİ, Hayırlı N, Gürses L, Şekerci Z, Yılmaz ER. Does Decorin Protect Neuronal Tissue via Its Antioxidant and Antiinflammatory Activity from Traumatic Brain Injury? An Experimental StudyWorld Neurosurg. 2017 Jan;97:407-415. doi: 10.1016\/j.wneu.2016.09.115. Epub 2016 Oct 12.","Özay R, Türkoğlu E, Gürer B, Dolgun H, Evirgen O, Ergüder Bİ, Hayırlı N, Gürses L, Şekerci Z, Yılmaz ER. Does Decorin Protect Neuronal Tissue via Its Antioxidant and Antiinflammatory Activity from Traumatic Brain Injury? An Experimental StudyWorld Neurosurg. 2017 Jan;97:407-415. doi: 10.1016\/j.wneu.2016.09.115. Epub 2016 Oct 12.",male,male,,Weight-drop model
,250 - 300 g,https://doi.org/10.1016/j.wneu.2017.04.136,PMID:28461271,"Özay R, Türkoğlu ME, Gürer B, Dolgun H, Evirgen O, Ergüder Bİ, Hayırlı N, Gürses L, Şekerci Z. The Protective Effect of Omeprazole Against Traumatic Brain Injury: An Experimental StudyWorld Neurosurg. 2017 Aug;104:634-643. doi: 10.1016\/j.wneu.2017.04.136. Epub 2017 Apr 28.","Özay R, Türkoğlu ME, Gürer B, Dolgun H, Evirgen O, Ergüder Bİ, Hayırlı N, Gürses L, Şekerci Z. The Protective Effect of Omeprazole Against Traumatic Brain Injury: An Experimental StudyWorld Neurosurg. 2017 Aug;104:634-643. doi: 10.1016\/j.wneu.2017.04.136. Epub 2017 Apr 28.",male,male,rat,Wistar,Wistar Albino,,365,"Özay R, Türkoğlu ME, Gürer B, Dolgun H, Evirgen O, Ergüder Bİ, Hayırlı N, Gürses L, Şekerci Z. The Protective Effect of Omeprazole Against Traumatic Brain Injury: An Experimental StudyWorld Neurosurg. 2017 Aug;104:634-643. doi: 10.1016\/j.wneu.2017.04.136. Epub 2017 Apr 28.","Özay R, Türkoğlu ME, Gürer B, Dolgun H, Evirgen O, Ergüder Bİ, Hayırlı N, Gürses L, Şekerci Z. The Protective Effect of Omeprazole Against Traumatic Brain Injury: An Experimental StudyWorld Neurosurg. 2017 Aug;104:634-643. doi: 10.1016\/j.wneu.2017.04.136. Epub 2017 Apr 28.",male,male,,Weight-drop model
Adult,250 - 400 g,https://doi.org/10.1016/j.wneu.2021.06.117,PMID:34224887,"Kuru Bektaşoğlu P, Koyuncuoğlu T, Demir D, Sucu G, Akakın D, Peker Eyüboğlu İ, Yüksel M, Çelikoğlu E, Yeğen BÇ, Gürer B. Neuroprotective Effect of Cinnamaldehyde on Secondary Brain Injury After Traumatic Brain Injury in a Rat ModelWorld Neurosurg. 2021 Sep;153:e392-e402. doi: 10.1016\/j.wneu.2021.06.117. Epub 2021 Jul 2.","Kuru Bektaşoğlu P, Koyuncuoğlu T, Demir D, Sucu G, Akakın D, Peker Eyüboğlu İ, Yüksel M, Çelikoğlu E, Yeğen BÇ, Gürer B. Neuroprotective Effect of Cinnamaldehyde on Secondary Brain Injury After Traumatic Brain Injury in a Rat ModelWorld Neurosurg. 2021 Sep;153:e392-e402. doi: 10.1016\/j.wneu.2021.06.117. Epub 2021 Jul 2.",male,male,rat,Wistar,Wistar Albino,,367,"Kuru Bektaşoğlu P, Koyuncuoğlu T, Demir D, Sucu G, Akakın D, Peker Eyüboğlu İ, Yüksel M, Çelikoğlu E, Yeğen BÇ, Gürer B. Neuroprotective Effect of Cinnamaldehyde on Secondary Brain Injury After Traumatic Brain Injury in a Rat ModelWorld Neurosurg. 2021 Sep;153:e392-e402. doi: 10.1016\/j.wneu.2021.06.117. Epub 2021 Jul 2.","Kuru Bektaşoğlu P, Koyuncuoğlu T, Demir D, Sucu G, Akakın D, Peker Eyüboğlu İ, Yüksel M, Çelikoğlu E, Yeğen BÇ, Gürer B. Neuroprotective Effect of Cinnamaldehyde on Secondary Brain Injury After Traumatic Brain Injury in a Rat ModelWorld Neurosurg. 2021 Sep;153:e392-e402. doi: 10.1016\/j.wneu.2021.06.117. Epub 2021 Jul 2.",male,male,,Weight-drop model
,150 - 250 g,https://doi.org/10.1016/j.amsu.2021.102273,PMID:33996045,"Tommy T, Islam AA, Hatta M, Bukhari A, Nasrullah, Adhimarta W, Aminuddin, Zainuddin AA. Effect of folinic acid on serum homocysteine, TNFα, IL-10, and HMGB1 gene expression in head injury modelAnn Med Surg (Lond). 2021 Apr 6;65:102273. doi: 10.1016\/j.amsu.2021.102273. eCollection 2021 May. PMC8100092","Tommy T, Islam AA, Hatta M, Bukhari A, Nasrullah, Adhimarta W, Aminuddin, Zainuddin AA. Effect of folinic acid on serum homocysteine, TNFα, IL-10, and HMGB1 gene expression in head injury modelAnn Med Surg (Lond). 2021 Apr 6;65:102273. doi: 10.1016\/j.amsu.2021.102273. eCollection 2021 May. PMC8100092",male,male,rat,Sprague-Dawley,Sprague-Dawley,,368,"Tommy T, Islam AA, Hatta M, Bukhari A, Nasrullah, Adhimarta W, Aminuddin, Zainuddin AA. Effect of folinic acid on serum homocysteine, TNFα, IL-10, and HMGB1 gene expression in head injury modelAnn Med Surg (Lond). 2021 Apr 6;65:102273. doi: 10.1016\/j.amsu.2021.102273. eCollection 2021 May. PMC8100092","Tommy T, Islam AA, Hatta M, Bukhari A, Nasrullah, Adhimarta W, Aminuddin, Zainuddin AA. Effect of folinic acid on serum homocysteine, TNFα, IL-10, and HMGB1 gene expression in head injury modelAnn Med Surg (Lond). 2021 Apr 6;65:102273. doi: 10.1016\/j.amsu.2021.102273. eCollection 2021 May. PMC8100092",male,male,,Weight-drop model
,,https://doi.org/10.1016/j.redox.2021.102067,PMID:34315111,"Ho MH, Yen CH, Hsieh TH, Kao TJ, Chiu JY, Chiang YH, Hoffer BJ, Chang WC, Chou SY. CCL5 via GPX1 activation protects hippocampal memory function after mild traumatic brain injuryRedox Biol. 2021 Oct;46:102067. doi: 10.1016\/j.redox.2021.102067. Epub 2021 Jul 17. PMC8327355","Ho MH, Yen CH, Hsieh TH, Kao TJ, Chiu JY, Chiang YH, Hoffer BJ, Chang WC, Chou SY. CCL5 via GPX1 activation protects hippocampal memory function after mild traumatic brain injuryRedox Biol. 2021 Oct;46:102067. doi: 10.1016\/j.redox.2021.102067. Epub 2021 Jul 17. PMC8327355",male,male,mouse,C57BL,C57BL/6,,369,"Ho MH, Yen CH, Hsieh TH, Kao TJ, Chiu JY, Chiang YH, Hoffer BJ, Chang WC, Chou SY. CCL5 via GPX1 activation protects hippocampal memory function after mild traumatic brain injuryRedox Biol. 2021 Oct;46:102067. doi: 10.1016\/j.redox.2021.102067. Epub 2021 Jul 17. PMC8327355","Ho MH, Yen CH, Hsieh TH, Kao TJ, Chiu JY, Chiang YH, Hoffer BJ, Chang WC, Chou SY. CCL5 via GPX1 activation protects hippocampal memory function after mild traumatic brain injuryRedox Biol. 2021 Oct;46:102067. doi: 10.1016\/j.redox.2021.102067. Epub 2021 Jul 17. PMC8327355",male,male,,Weight-drop model
,350 - 450 g,https://doi.org/10.1016/j.jtcme.2021.01.003,PMID:34195026,"Barot J, Saxena B. Therapeutic effects of eugenol in a rat model of traumatic brain injury: A behavioral, biochemical, and histological studyJ Tradit Complement Med. 2021 Jan 8;11(4):318-327. doi: 10.1016\/j.jtcme.2021.01.003. eCollection 2021 Jul. PMC8240337","Barot J, Saxena B. Therapeutic effects of eugenol in a rat model of traumatic brain injury: A behavioral, biochemical, and histological studyJ Tradit Complement Med. 2021 Jan 8;11(4):318-327. doi: 10.1016\/j.jtcme.2021.01.003. eCollection 2021 Jul. PMC8240337","male, female","male, female",rat,Sprague-Dawley,Sprague-Dawley,,370,"Barot J, Saxena B. Therapeutic effects of eugenol in a rat model of traumatic brain injury: A behavioral, biochemical, and histological studyJ Tradit Complement Med. 2021 Jan 8;11(4):318-327. doi: 10.1016\/j.jtcme.2021.01.003. eCollection 2021 Jul. PMC8240337","Barot J, Saxena B. Therapeutic effects of eugenol in a rat model of traumatic brain injury: A behavioral, biochemical, and histological studyJ Tradit Complement Med. 2021 Jan 8;11(4):318-327. doi: 10.1016\/j.jtcme.2021.01.003. eCollection 2021 Jul. PMC8240337","male, female","male, female",,Weight-drop model
Adult,300 - 350 g,https://doi.org/10.3892/etm.2022.11173,PMID:35261620,"Xie LL, Li SS, Fan YJ, Qi MM, Li ZZ. Melatonin alleviates traumatic brain injury-induced anxiety-like behaviors in rats: Roles of the protein kinase A\/cAMP-response element binding signaling pathwayExp Ther Med. 2022 Apr;23(4):248. doi: 10.3892\/etm.2022.11173. Epub 2022 Jan 31. PMC8855513","Xie LL, Li SS, Fan YJ, Qi MM, Li ZZ. Melatonin alleviates traumatic brain injury-induced anxiety-like behaviors in rats: Roles of the protein kinase A\/cAMP-response element binding signaling pathwayExp Ther Med. 2022 Apr;23(4):248. doi: 10.3892\/etm.2022.11173. Epub 2022 Jan 31. PMC8855513",male,male,rat,Sprague-Dawley,Sprague-Dawley,,371,"Xie LL, Li SS, Fan YJ, Qi MM, Li ZZ. Melatonin alleviates traumatic brain injury-induced anxiety-like behaviors in rats: Roles of the protein kinase A\/cAMP-response element binding signaling pathwayExp Ther Med. 2022 Apr;23(4):248. doi: 10.3892\/etm.2022.11173. Epub 2022 Jan 31. PMC8855513","Xie LL, Li SS, Fan YJ, Qi MM, Li ZZ. Melatonin alleviates traumatic brain injury-induced anxiety-like behaviors in rats: Roles of the protein kinase A\/cAMP-response element binding signaling pathwayExp Ther Med. 2022 Apr;23(4):248. doi: 10.3892\/etm.2022.11173. Epub 2022 Jan 31. PMC8855513",male,male,,Weight-drop model
,360 - 400 g,https://doi.org/10.3892/ijmm.2021.4968,PMID:34036377,"Cui C, Zhang D, Sun K, Li H, Xu L, Lin G, Guo Y, Hu J, Chen J, Nong L, Cai Y, Yu D, Yang W, Wang P, Sun Y. Propofol maintains Th17\/Treg cell balance and reduces inflammation in rats with traumatic brain injury via the miR‑145‑3p\/NFATc2\/NF‑κB axisInt J Mol Med. 2021 Jul;48(1):135. doi: 10.3892\/ijmm.2021.4968. Epub 2021 May 26. PMC8148094","Cui C, Zhang D, Sun K, Li H, Xu L, Lin G, Guo Y, Hu J, Chen J, Nong L, Cai Y, Yu D, Yang W, Wang P, Sun Y. Propofol maintains Th17\/Treg cell balance and reduces inflammation in rats with traumatic brain injury via the miR‑145‑3p\/NFATc2\/NF‑κB axisInt J Mol Med. 2021 Jul;48(1):135. doi: 10.3892\/ijmm.2021.4968. Epub 2021 May 26. PMC8148094",male,male,rat,Sprague-Dawley,Sprague-Dawley,,372,"Cui C, Zhang D, Sun K, Li H, Xu L, Lin G, Guo Y, Hu J, Chen J, Nong L, Cai Y, Yu D, Yang W, Wang P, Sun Y. Propofol maintains Th17\/Treg cell balance and reduces inflammation in rats with traumatic brain injury via the miR‑145‑3p\/NFATc2\/NF‑κB axisInt J Mol Med. 2021 Jul;48(1):135. doi: 10.3892\/ijmm.2021.4968. Epub 2021 May 26. PMC8148094","Cui C, Zhang D, Sun K, Li H, Xu L, Lin G, Guo Y, Hu J, Chen J, Nong L, Cai Y, Yu D, Yang W, Wang P, Sun Y. Propofol maintains Th17\/Treg cell balance and reduces inflammation in rats with traumatic brain injury via the miR‑145‑3p\/NFATc2\/NF‑κB axisInt J Mol Med. 2021 Jul;48(1):135. doi: 10.3892\/ijmm.2021.4968. Epub 2021 May 26. PMC8148094",male,male,,Weight-drop model
,280 - 320 g,https://doi.org/10.3892/mmr.2015.3607,PMID:25873133,"Wang YC, Cui Y, Cui JZ, Sun LQ, Cui CM, Zhang HA, Zhu HX, Li R, Tian YX, Gao JL. Neuroprotective effects of brilliant blue G on the brain following traumatic brain injury in ratsMol Med Rep. 2015 Aug;12(2):2149-54. doi: 10.3892\/mmr.2015.3607. Epub 2015 Apr 14.","Wang YC, Cui Y, Cui JZ, Sun LQ, Cui CM, Zhang HA, Zhu HX, Li R, Tian YX, Gao JL. Neuroprotective effects of brilliant blue G on the brain following traumatic brain injury in ratsMol Med Rep. 2015 Aug;12(2):2149-54. doi: 10.3892\/mmr.2015.3607. Epub 2015 Apr 14.",No sex reported,No sex reported,rat,Sprague-Dawley,Sprague-Dawley,,373,"Wang YC, Cui Y, Cui JZ, Sun LQ, Cui CM, Zhang HA, Zhu HX, Li R, Tian YX, Gao JL. Neuroprotective effects of brilliant blue G on the brain following traumatic brain injury in ratsMol Med Rep. 2015 Aug;12(2):2149-54. doi: 10.3892\/mmr.2015.3607. Epub 2015 Apr 14.","Wang YC, Cui Y, Cui JZ, Sun LQ, Cui CM, Zhang HA, Zhu HX, Li R, Tian YX, Gao JL. Neuroprotective effects of brilliant blue G on the brain following traumatic brain injury in ratsMol Med Rep. 2015 Aug;12(2):2149-54. doi: 10.3892\/mmr.2015.3607. Epub 2015 Apr 14.",No sex reported,No sex reported,modified weight-drop device,Weight-drop model
,280 - 320 g,https://doi.org/10.3892/mmr.2015.3611,PMID:25872478,"Cui CM, Gao JL, Cui Y, Sun LQ, Wang YC, Wang KJ, Li R, Tian YX, Cui JZ. Chloroquine exerts neuroprotection following traumatic brain injury via suppression of inflammation and neuronal autophagic deathMol Med Rep. 2015 Aug;12(2):2323-8. doi: 10.3892\/mmr.2015.3611. Epub 2015 Apr 15.","Cui CM, Gao JL, Cui Y, Sun LQ, Wang YC, Wang KJ, Li R, Tian YX, Cui JZ. Chloroquine exerts neuroprotection following traumatic brain injury via suppression of inflammation and neuronal autophagic deathMol Med Rep. 2015 Aug;12(2):2323-8. doi: 10.3892\/mmr.2015.3611. Epub 2015 Apr 15.",No sex reported,No sex reported,rat,Sprague-Dawley,Sprague-Dawley,,374,"Cui CM, Gao JL, Cui Y, Sun LQ, Wang YC, Wang KJ, Li R, Tian YX, Cui JZ. Chloroquine exerts neuroprotection following traumatic brain injury via suppression of inflammation and neuronal autophagic deathMol Med Rep. 2015 Aug;12(2):2323-8. doi: 10.3892\/mmr.2015.3611. Epub 2015 Apr 15.","Cui CM, Gao JL, Cui Y, Sun LQ, Wang YC, Wang KJ, Li R, Tian YX, Cui JZ. Chloroquine exerts neuroprotection following traumatic brain injury via suppression of inflammation and neuronal autophagic deathMol Med Rep. 2015 Aug;12(2):2323-8. doi: 10.3892\/mmr.2015.3611. Epub 2015 Apr 15.",No sex reported,No sex reported,modified weight-drop device,Weight-drop model
,28 - 32 g,https://doi.org/10.3892/mmr.2015.4407,PMID:26458361,"Song Q, Xie D, Pan S, Xu W. Rapamycin protects neurons from brain contusion‑induced inflammatory reaction via modulation of microglial activationMol Med Rep. 2015 Nov;12(5):7203-10. doi: 10.3892\/mmr.2015.4407. Epub 2015 Oct 1. PMC4626160","Song Q, Xie D, Pan S, Xu W. Rapamycin protects neurons from brain contusion‑induced inflammatory reaction via modulation of microglial activationMol Med Rep. 2015 Nov;12(5):7203-10. doi: 10.3892\/mmr.2015.4407. Epub 2015 Oct 1. PMC4626160",male,male,mouse,ICR,ICR,,375,"Song Q, Xie D, Pan S, Xu W. Rapamycin protects neurons from brain contusion‑induced inflammatory reaction via modulation of microglial activationMol Med Rep. 2015 Nov;12(5):7203-10. doi: 10.3892\/mmr.2015.4407. Epub 2015 Oct 1. PMC4626160","Song Q, Xie D, Pan S, Xu W. Rapamycin protects neurons from brain contusion‑induced inflammatory reaction via modulation of microglial activationMol Med Rep. 2015 Nov;12(5):7203-10. doi: 10.3892\/mmr.2015.4407. Epub 2015 Oct 1. PMC4626160",male,male,weight-drop model,Weight-drop model
Adult,350 - 375 g,https://doi.org/10.3892/mmr.2018.8898,PMID:29693126,"Zhang MH, Zhou XM, Cui JZ, Wang KJ, Feng Y, Zhang HA. Neuroprotective effects of dexmedetomidine on traumatic brain injury: Involvement of neuronal apoptosis and HSP70 expressionMol Med Rep. 2018 Jun;17(6):8079-8086. doi: 10.3892\/mmr.2018.8898. Epub 2018 Apr 19. PMC5983975","Zhang MH, Zhou XM, Cui JZ, Wang KJ, Feng Y, Zhang HA. Neuroprotective effects of dexmedetomidine on traumatic brain injury: Involvement of neuronal apoptosis and HSP70 expressionMol Med Rep. 2018 Jun;17(6):8079-8086. doi: 10.3892\/mmr.2018.8898. Epub 2018 Apr 19. PMC5983975",male,male,rat,Sprague-Dawley,Sprague-Dawley,,376,"Zhang MH, Zhou XM, Cui JZ, Wang KJ, Feng Y, Zhang HA. Neuroprotective effects of dexmedetomidine on traumatic brain injury: Involvement of neuronal apoptosis and HSP70 expressionMol Med Rep. 2018 Jun;17(6):8079-8086. doi: 10.3892\/mmr.2018.8898. Epub 2018 Apr 19. PMC5983975","Zhang MH, Zhou XM, Cui JZ, Wang KJ, Feng Y, Zhang HA. Neuroprotective effects of dexmedetomidine on traumatic brain injury: Involvement of neuronal apoptosis and HSP70 expressionMol Med Rep. 2018 Jun;17(6):8079-8086. doi: 10.3892\/mmr.2018.8898. Epub 2018 Apr 19. PMC5983975",male,male,modified weight-drop device,Weight-drop model
,40 g,https://doi.org/10.1117/1.NPh.2.1.015001,PMID:26157981,"Shochat A, Abookasis D. Differential effects of early postinjury treatment with neuroprotective drugs in a mouse model using diffuse reflectance spectroscopyNeurophotonics. 2015 Jan;2(1):015001. doi: 10.1117\/1.NPh.2.1.015001. Epub 2015 Jan 22. PMC4478758","Shochat A, Abookasis D. Differential effects of early postinjury treatment with neuroprotective drugs in a mouse model using diffuse reflectance spectroscopyNeurophotonics. 2015 Jan;2(1):015001. doi: 10.1117\/1.NPh.2.1.015001. Epub 2015 Jan 22. PMC4478758",male,male,mouse,ICR,ICR,,377,"Shochat A, Abookasis D. Differential effects of early postinjury treatment with neuroprotective drugs in a mouse model using diffuse reflectance spectroscopyNeurophotonics. 2015 Jan;2(1):015001. doi: 10.1117\/1.NPh.2.1.015001. Epub 2015 Jan 22. PMC4478758","Shochat A, Abookasis D. Differential effects of early postinjury treatment with neuroprotective drugs in a mouse model using diffuse reflectance spectroscopyNeurophotonics. 2015 Jan;2(1):015001. doi: 10.1117\/1.NPh.2.1.015001. Epub 2015 Jan 22. PMC4478758",male,male,weight-drop device,Weight-drop model
Adult,260 - 300 g,https://doi.org/10.1080/00207454.2018.1486828,PMID:29883225,"Zhào H, Liu Y, Zeng J, Li D, Huang Y. Troxerutin cerebroprotein hydrolysate injection ameliorates neurovascular injury induced by traumatic brain injury - via endothelial nitric oxide synthase pathway regulationInt J Neurosci. 2018 Dec;128(12):1118-1127. doi: 10.1080\/00207454.2018.1486828. Epub 2018 Nov 4.","Zhào H, Liu Y, Zeng J, Li D, Huang Y. Troxerutin cerebroprotein hydrolysate injection ameliorates neurovascular injury induced by traumatic brain injury - via endothelial nitric oxide synthase pathway regulationInt J Neurosci. 2018 Dec;128(12):1118-1127. doi: 10.1080\/00207454.2018.1486828. Epub 2018 Nov 4.",male,male,rat,Sprague-Dawley,Sprague-Dawley,,378,"Zhào H, Liu Y, Zeng J, Li D, Huang Y. Troxerutin cerebroprotein hydrolysate injection ameliorates neurovascular injury induced by traumatic brain injury - via endothelial nitric oxide synthase pathway regulationInt J Neurosci. 2018 Dec;128(12):1118-1127. doi: 10.1080\/00207454.2018.1486828. Epub 2018 Nov 4.","Zhào H, Liu Y, Zeng J, Li D, Huang Y. Troxerutin cerebroprotein hydrolysate injection ameliorates neurovascular injury induced by traumatic brain injury - via endothelial nitric oxide synthase pathway regulationInt J Neurosci. 2018 Dec;128(12):1118-1127. doi: 10.1080\/00207454.2018.1486828. Epub 2018 Nov 4.",male,male,,Weight-drop model
